Call ID,Segment,Date,StartTime,Calling Party,DialedNumber,Disposition,DispositionTime,Skill,AnsLogid,TalkTime,HoldTime,ACWTime,TransferedOut,ConferencedIn,Assist,LastCallWorkCode
993897,2,21-07-2017,12:32PM,272,,OTHER,:00,46,,0.0,:00,:00,N,Y,N,
993898,2,21-07-2017,12:29PM,002V03019,,OTHER,:00,43,,0.0,:00,:00,N,N,N,
993899,2,21-07-2017,12:30PM,002V02031,,OTHER,:00,41,,0.0,:00,:00,N,N,N,
993900,2,21-07-2017,12:32PM,002V03021,,OTHER,:00,48,,0.0,:00,:00,N,N,N,
993901,3,21-07-2017,12:32PM,32801,8860639097#,OTHER,:00,60,,0.0,:00,:00,N,N,N,
993902,2,21-07-2017,12:31PM,001V03019,,OTHER,:00,46,,0.0,:00,:00,N,Y,N,
993903,2,21-07-2017,12:33PM,001V03020,,OTHER,:00,43,,0.0,:00,:00,N,N,N,
993904,3,21-07-2017,12:29PM,32834,8072,ANS,:08,60,6543,04.21.00,:00,:05,N,N,N,
993905,2,21-07-2017,12:30PM,35316179950,8064,ANS,:07,46,6074,03.41.00,:00,:05,N,Y,N,
993906,2,21-07-2017,12:33PM,002V02005,,OTHER,:00,46,,0.0,:00,:00,N,Y,N,
993907,3,21-07-2017,12:34PM,001V03021,,OTHER,:00,58,,0.0,:00,:00,N,N,N,
993908,3,21-07-2017,12:33PM,32801,32841,OTHER,:00,60,,0.0,:00,:00,N,N,N,
993909,2,21-07-2017,12:34PM,002V03023,,OTHER,:00,46,,0.0,:00,:00,N,Y,N,
993910,1,21-07-2017,12:34PM,002V03024,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
993911,3,21-07-2017,12:35PM,273,,OTHER,:00,58,,0.0,:00,:00,N,N,N,
993912,1,21-07-2017,12:34PM,1244068496,8052,ABAN,:34,53,,0.0,:00,:00,N,N,N,
993913,1,21-07-2017,12:22PM,002V02012,,OTHER,:00,32,,0.0,:00,:00,N,N,N,
993914,1,21-07-2017,12:35PM,002V02001,,OTHER,:00,54,,0.0,:00,:00,N,N,N,
993915,2,21-07-2017,12:35PM,002V03025,,OTHER,:00,46,,0.0,:00,:00,N,Y,N,
993916,2,21-07-2017,12:35PM,002V02011,,OTHER,:00,39,,0.0,:00,:00,N,N,N,
993917,2,21-07-2017,12:35PM,002V02009,,OTHER,:00,41,,0.0,:00,:00,N,N,N,
993918,3,21-07-2017,12:34PM,32886,1242571666#,OTHER,:00,58,,0.0,:00,:00,N,N,N,
993919,2,21-07-2017,12:35PM,002V02010,,OTHER,:00,46,,0.0,:00,:00,N,N,N,
993920,1,21-07-2017,12:34PM,002V02007,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
993921,2,21-07-2017,12:35PM,002V02013,,OTHER,:00,45,,0.0,:00,:00,N,N,N,
993922,2,21-07-2017,12:35PM,002V03026,,OTHER,:00,48,,0.0,:00,:00,N,N,N,
993923,1,21-07-2017,12:35PM,002V02008,,OTHER,:00,54,,0.0,:00,:00,N,N,N,
